chan2,chan3,chan7,chan11,label
../prepare_data_source/revised_clusters/multi/chan2_0126p_012621_60394B_20_RBC_multiple_CD61+_102.png,../prepare_data_source/revised_clusters/multi/chan3_0126p_012621_60394B_20_RBC_multiple_CD61+_102.png,../prepare_data_source/revised_clusters/multi/chan7_0126p_012621_60394B_20_RBC_multiple_CD61+_102.png,../prepare_data_source/revised_clusters/multi/chan11_0126p_012621_60394B_20_RBC_multiple_CD61+_102.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0126p_012621_60394B_20_RBC_multiple_CD61+_44.png,../prepare_data_source/revised_clusters/multi/chan3_0126p_012621_60394B_20_RBC_multiple_CD61+_44.png,../prepare_data_source/revised_clusters/multi/chan7_0126p_012621_60394B_20_RBC_multiple_CD61+_44.png,../prepare_data_source/revised_clusters/multi/chan11_0126p_012621_60394B_20_RBC_multiple_CD61+_44.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0126p_012621_60394B_20_RBC_multiple_CD61+_61.png,../prepare_data_source/revised_clusters/multi/chan3_0126p_012621_60394B_20_RBC_multiple_CD61+_61.png,../prepare_data_source/revised_clusters/multi/chan7_0126p_012621_60394B_20_RBC_multiple_CD61+_61.png,../prepare_data_source/revised_clusters/multi/chan11_0126p_012621_60394B_20_RBC_multiple_CD61+_61.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0126p_012621_60394B_20_RBC_multiple_CD61+_84.png,../prepare_data_source/revised_clusters/multi/chan3_0126p_012621_60394B_20_RBC_multiple_CD61+_84.png,../prepare_data_source/revised_clusters/multi/chan7_0126p_012621_60394B_20_RBC_multiple_CD61+_84.png,../prepare_data_source/revised_clusters/multi/chan11_0126p_012621_60394B_20_RBC_multiple_CD61+_84.png,wbc
../prepare_data_source/revised_clusters/multi/chan2_0126p_012621_60394B_20_RBC_multiple_CD61+_87.png,../prepare_data_source/revised_clusters/multi/chan3_0126p_012621_60394B_20_RBC_multiple_CD61+_87.png,../prepare_data_source/revised_clusters/multi/chan7_0126p_012621_60394B_20_RBC_multiple_CD61+_87.png,../prepare_data_source/revised_clusters/multi/chan11_0126p_012621_60394B_20_RBC_multiple_CD61+_87.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_1.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_1.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_1.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_1.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_10.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_10.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_10.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_10.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_100.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_100.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_100.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_100.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_101.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_101.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_101.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_101.png,wbc platelet
../prepare_data_source/revised_clusters/multi/chan2_0203p_02032021_102b_4_DAPI+cells_102.png,../prepare_data_source/revised_clusters/multi/chan3_0203p_02032021_102b_4_DAPI+cells_102.png,../prepare_data_source/revised_clusters/multi/chan7_0203p_02032021_102b_4_DAPI+cells_102.png,../prepare_data_source/revised_clusters/multi/chan11_0203p_02032021_102b_4_DAPI+cells_102.png,wbc platelet
